국내,제주,CJU
국내,김해/부산,PUS
국내,울산,USN
국내,광주,KWJ
국내,여수,RSU
국내,대구,TAE
국내,양양,YNY
국내,김포,GMP
국내,인천,ICN
동남아,다낭,DAD
동남아,방콕,BKK
동남아,홍콩,HKG
동남아,타이베이,TPE
동남아,호치민시,SGN
동남아,마닐라,MNL
동남아,세부,CEB
동남아,하노이,HAN
동남아,싱가포르,SIN
동남아,코타키나발루,BKI
동남아,나트랑,CXR
동남아,쿠알라룸푸르,KUL
일본,오사카,KIX
일본,도쿄(나리타),NRT
일본,도쿄(하네다),HND
일본,후쿠오카,FUK
일본,오키나와,OKA
일본,삿포로,CTS
중국,상하이,PVG
중국,청도,TAO
중국,광저우,CAN
중국,베이징,PEK
중국,연길,YNJ
중국,심천,SZX
미국,LA,LAX
미국,하와이,HNL
미국,뉴욕,JFK
미국,벤쿠버,YVR
미국,샌프란시스코,SFO
미국,토론토,YYZ
유럽,파리,CDG
유럽,런던,LHR
유럽,블라디보스토크,VVO
유럽,로마,FCO
유럽,프라하,PRG
유럽,바르셀로나,BCN
대양주,괌,GUM
대양주,사이판,SPN
대양주,시드니,SYD
대양주,오클랜드,AKL
대양주,브리즈번,BNE
대양주,멜버른,MEL
